Age,Salary,Experience,Purchased
33,24324,6,0
56,96323,35,1
22,29111,4,0
39,189182,16,0
46,36389,24,0
20,142177,2,0
29,61427,8,0
43,179818,20,1
33,142883,12,0
54,151189,35,1
39,145808,14,0
46,132221,26,1
31,33234,5,0
45,73441,28,1
22,20846,1,0
47,30954,21,0
22,99239,0,0
29,66514,8,0
33,108236,8,0
43,117579,17,0
43,157541,26,1
38,181177,20,1
56,62101,35,1
53,84323,26,1
50,111922,30,1
47,196659,22,1
54,188048,28,1
40,147534,15,0
27,87584,4,0
22,124537,5,0
53,98477,33,1
51,62533,33,1
48,21828,27,1
27,21917,6,0
36,40618,15,0
49,52254,29,1
18,125292,0,0
22,67362,0,0
21,40128,0,0
33,143781,14,0
41,85545,15,0
33,102180,6,0
19,107958,1,0
45,160937,19,1
49,153291,28,1
44,59809,19,0
37,136748,19,0
41,25287,15,0
29,185459,12,0
52,28512,31,1
50,152414,24,1
50,128872,25,1
60,170288,40,1
54,113070,33,1
29,99767,5,0
20,117829,0,0
18,177686,0,0
50,187330,31,1
57,62078,37,1
27,126288,8,0
60,103524,40,1
46,32219,27,1
30,20235,9,0
29,62929,5,0
48,147309,25,1
19,87444,0,0
52,159639,25,1
40,121834,15,0
34,104555,14,0
43,93698,17,0
25,144450,1,0
46,156487,20,1
43,187231,20,1
27,63925,8,0
43,157023,16,0
51,107388,28,1
58,28007,39,1
24,192904,0,0
21,78596,2,0
28,141101,8,0
46,181595,22,1
53,108861,36,1
42,106740,24,1
38,35524,15,0
53,170354,30,1
27,175002,10,0
54,151149,32,1
26,145501,5,0
41,40611,21,0
52,168056,32,1
52,34060,35,1
53,63303,27,1
