Age,Gender,Review,Education,Purchased
52,Male,Poor,PG,Yes
57,Female,Average,School,No
39,Male,Good,UG,Yes
44,Female,Good,UG,Yes
52,Male,Poor,School,No
18,Female,Excellent,School,Yes
52,Male,Poor,UG,No
54,Female,Poor,PG,Yes
31,Female,Average,UG,No
20,Female,Average,School,No
18,Female,Poor,UG,No
22,Female,Good,School,No
43,Male,Average,UG,No
31,Male,Excellent,PG,Yes
56,Male,Average,UG,No
44,Female,Average,UG,No
26,Male,Excellent,School,Yes
32,Female,Poor,School,No
32,Female,Excellent,School,Yes
43,Male,Poor,UG,No
59,Male,Poor,PG,Yes
30,Female,Poor,School,No
49,Male,Excellent,School,Yes
56,Female,Poor,UG,No
49,Female,Good,School,No
21,Female,Excellent,PG,Yes
47,Female,Good,PG,Yes
54,Female,Poor,School,No
40,Male,Average,School,No
56,Male,Poor,UG,No
32,Female,Good,PG,Yes
46,Female,Good,PG,Yes
53,Male,Excellent,School,Yes
30,Male,Average,UG,No
49,Female,Excellent,PG,Yes
24,Male,Good,PG,Yes
39,Female,Poor,UG,No
45,Male,Average,UG,No
19,Female,Poor,PG,Yes
59,Male,Poor,PG,Yes
23,Female,Average,UG,No
45,Male,Excellent,PG,Yes
45,Male,Poor,School,No
37,Female,Good,School,No
47,Male,Poor,UG,No
28,Female,Average,UG,No
45,Male,Average,UG,No
42,Female,Average,School,No
56,Male,Excellent,PG,Yes
50,Female,Poor,School,No
18,Male,Excellent,PG,Yes
44,Female,Excellent,School,Yes
30,Male,Average,PG,Yes
58,Female,Average,School,No
20,Female,Excellent,UG,Yes
56,Female,Poor,School,No
23,Male,Good,PG,Yes
25,Female,Excellent,School,Yes
44,Male,Poor,School,No
26,Female,Average,School,No
54,Male,Average,UG,No
50,Female,Poor,School,No
59,Male,Good,UG,Yes
41,Male,Average,UG,No
32,Female,Average,School,No
49,Male,Average,School,No
49,Male,Poor,School,No
41,Female,Excellent,PG,Yes
58,Male,Average,School,No
29,Male,Excellent,UG,Yes
56,Male,Good,School,No
19,Female,Average,PG,Yes
20,Male,Average,School,No
54,Female,Good,PG,Yes
34,Male,Average,PG,Yes
19,Male,Excellent,School,Yes
19,Male,Poor,UG,No
45,Female,Excellent,PG,Yes
40,Male,Poor,School,No
54,Male,Poor,School,No
49,Female,Excellent,UG,Yes
50,Male,Excellent,PG,Yes
18,Female,Excellent,PG,Yes
36,Female,Excellent,School,Yes
19,Male,Good,School,No
43,Female,Average,UG,No
49,Male,Poor,UG,No
23,Female,Excellent,PG,Yes
49,Female,Excellent,PG,Yes
21,Male,Excellent,School,Yes
28,Female,Good,PG,Yes
34,Female,Excellent,UG,Yes
